row,col,tileId,northEdge,eastEdge,southEdge,westEdge,rotation,isHighlighted,highlightType,shapeFamily,northMatch,eastMatch,southMatch,westMatch,neighborScore,mirrorH_position,mirrorV_position
1,1,ddba,d,d,b,a,0,false,,3,0,1,1,0,2,,east
1,2,dabd,d,a,b,d,0,false,,2,0,0,1,1,2,east,west
1,3,badd,b,a,d,d,0,false,,1,0,1,1,0,2,west,east
1,4,bdda,b,d,d,a,0,false,,0,0,1,1,1,3,,west
1,5,ccbd,c,c,b,d,0,false,,3,0,1,1,1,3,,east
1,6,cdbc,c,d,b,c,0,false,,2,0,0,1,1,2,east,west
1,7,bdcc,b,d,c,c,0,false,,1,0,1,0,0,1,west,east
1,8,bccd,b,c,c,d,0,false,,0,0,1,0,1,2,,west
1,9,dbcc,d,b,c,c,0,false,,1,0,1,1,1,3,,east
1,10,dccb,d,c,c,b,0,false,,0,0,0,1,1,2,east,west
1,11,ccdb,c,c,d,b,0,false,,3,0,1,1,0,2,west,east
1,12,cbdc,c,b,d,c,0,false,,2,0,0,1,1,2,,west
2,1,bcdd,b,c,d,d,0,false,,1,1,1,1,0,3,,east
2,2,bddc,b,d,d,c,0,false,,0,1,0,1,1,3,east,west
2,3,ddbc,d,d,b,c,0,false,,3,1,1,0,0,2,west,east
2,4,dcbd,d,c,b,d,0,false,,2,1,1,0,1,3,,west
2,5,baac,b,a,a,c,0,false,,0,1,1,1,1,4,,east
2,6,bcaa,b,c,a,a,0,false,,1,1,0,1,1,3,east,west
2,7,acba,a,c,b,a,0,false,,2,0,1,0,0,1,west,east
2,8,aabc,a,a,b,c,0,false,,3,0,1,0,1,2,,west
2,9,ccda,c,c,d,a,0,false,,3,1,1,1,1,4,,east
2,10,cadc,c,a,d,c,0,false,,2,1,0,1,1,3,east,west
2,11,dacc,d,a,c,c,0,false,,1,1,1,0,0,2,west,east
2,12,dcca,d,c,c,a,0,false,,0,1,0,0,1,2,,west
3,1,dcad,d,c,a,d,0,false,,2,1,1,1,0,3,,east
3,2,ddac,d,d,a,c,0,false,,3,1,0,1,1,3,east,west
3,3,addc,a,d,d,c,0,false,,0,0,1,1,0,2,west,east
3,4,acdd,a,c,d,d,0,false,,1,0,1,1,1,3,,west
3,5,aadc,a,a,d,c,0,false,,3,1,1,1,1,4,,east
3,6,acda,a,c,d,a,0,false,,2,1,0,1,1,3,east,west
3,7,dcaa,d,c,a,a,0,false,,1,0,1,0,0,1,west,east
3,8,daac,d,a,a,c,0,false,,0,0,1,0,1,2,,west
3,9,dbba,d,b,b,a,0,false,,0,1,1,1,1,4,,east
3,10,dabb,d,a,b,b,0,false,,1,1,0,1,1,3,east,west
3,11,badb,b,a,d,b,0,false,,2,0,1,0,0,1,west,east
3,12,bbda,b,b,d,a,0,false,,3,0,0,0,1,1,,west
4,1,abdd,a,b,d,d,0,false,,1,1,1,1,0,3,,east
4,2,addb,a,d,d,b,0,false,,0,1,0,1,1,3,east,west
4,3,ddab,d,d,a,b,0,false,,3,1,1,0,0,2,west,east
4,4,dbad,d,b,a,d,0,false,,2,1,1,0,1,3,,west
4,5,dcbb,d,c,b,b,0,false,,1,1,1,1,1,4,,east
4,6,dbbc,d,b,b,c,0,false,,0,1,0,1,1,3,east,west
4,7,bbdc,b,b,d,c,0,false,,3,0,1,0,0,1,west,east
4,8,bcdb,b,c,d,b,0,false,,2,0,1,0,1,2,,west
4,9,bacc,b,a,c,c,0,false,,1,1,1,1,1,4,,east
4,10,bcca,b,c,c,a,0,false,,0,1,0,1,1,3,east,west
4,11,ccba,c,c,b,a,0,false,,3,0,1,0,0,1,west,east
4,12,cabc,c,a,b,c,0,false,,2,0,0,0,1,1,,west
5,1,dbcd,d,b,c,d,0,false,,2,1,1,1,0,3,,east
5,2,ddcb,d,d,c,b,0,false,,3,1,0,1,1,3,east,west
5,3,cddb,c,d,d,b,0,false,,0,0,1,1,0,2,west,east
5,4,cbdd,c,b,d,d,0,false,,1,0,1,1,1,3,,west
5,5,bdcb,b,d,c,b,0,false,,2,1,1,1,1,4,,east
5,6,bbcd,b,b,c,d,0,false,,3,1,0,1,1,3,east,west
5,7,cbbd,c,b,b,d,0,false,,0,0,1,0,0,1,west,east
5,8,cdbb,c,d,b,b,0,false,,1,0,1,0,1,2,,west
5,9,caad,c,a,a,d,0,false,,0,1,1,1,1,4,,east
5,10,cdaa,c,d,a,a,0,false,,1,1,0,1,1,3,east,west
5,11,adca,a,d,c,a,0,false,,2,0,1,1,0,2,west,east
5,12,aacd,a,a,c,d,0,false,,3,0,0,1,1,2,,west
6,1,cdda,c,d,d,a,0,false,,0,1,1,1,0,3,,east
6,2,cadd,c,a,d,d,0,false,,1,1,0,1,1,3,east,west
6,3,dacd,d,a,c,d,0,false,,2,1,1,0,0,2,west,east
6,4,ddca,d,d,c,a,0,false,,3,1,1,0,1,3,,west
6,5,ccad,c,c,a,d,0,false,,3,1,1,1,1,4,,east
6,6,cdac,c,d,a,c,0,false,,2,1,0,1,1,3,east,west
6,7,adcc,a,d,c,c,0,false,,1,0,1,0,0,1,west,east
6,8,accd,a,c,c,d,0,false,,0,0,1,0,1,2,,west
6,9,abcc,a,b,c,c,0,false,,1,1,1,1,1,4,,east
6,10,accb,a,c,c,b,0,false,,0,1,0,1,1,3,east,west
6,11,ccab,c,c,a,b,0,false,,3,1,1,1,0,3,west,east
6,12,cbac,c,b,a,c,0,false,,2,1,0,1,1,3,,west
7,1,dbaa,d,b,a,a,0,false,,1,1,1,1,0,3,,east
7,2,daab,d,a,a,b,0,false,,0,1,0,1,1,3,east,west
7,3,aadb,a,a,d,b,0,false,,3,0,1,0,0,1,west,east
7,4,abda,a,b,d,a,0,false,,2,0,1,0,1,2,,west
7,5,acbb,a,c,b,b,0,false,,1,1,1,1,1,4,,east
7,6,abbc,a,b,b,c,0,false,,0,1,0,1,1,3,east,west
7,7,bbac,b,b,a,c,0,false,,3,0,1,1,0,2,west,east
7,8,bcab,b,c,a,b,0,false,,2,0,0,1,1,2,,west
7,9,caab,c,a,a,b,0,false,,0,1,1,0,0,2,,east
7,10,cbaa,c,b,a,a,0,false,,1,1,0,0,1,2,east,west
7,11,abca,a,b,c,a,0,false,,2,1,1,0,0,2,west,east
7,12,aacb,a,a,c,b,0,false,,3,1,0,0,1,2,,west
8,1,adba,a,d,b,a,0,false,,2,1,1,0,0,2,,east
8,2,aabd,a,a,b,d,0,false,,3,1,0,0,1,2,east,west
8,3,baad,b,a,a,d,0,false,,0,0,1,0,0,1,west,east
8,4,bdaa,b,d,a,a,0,false,,1,0,1,0,1,2,,west
8,5,bbad,b,b,a,d,0,false,,3,1,1,0,1,3,,east
8,6,bdab,b,d,a,b,0,false,,2,1,0,0,1,2,east,west
8,7,adbb,a,d,b,b,0,false,,1,1,1,0,0,2,west,east
8,8,abbd,a,b,b,d,0,false,,0,1,1,0,1,3,,west
8,9,cabb,c,a,b,b,0,false,,1,0,1,0,1,2,,east
8,10,cbba,c,b,b,a,0,false,,0,0,0,0,1,1,east,west
8,11,bbca,b,b,c,a,0,false,,3,0,1,0,0,1,west,east
8,12,bacb,b,a,c,b,0,false,,2,0,0,0,1,1,,west
