id,edgeN,edgeE,edgeS,edgeW,shape,mirrorH,mirrorV,rotation0,rotation90,rotation180,rotation270
bcaa,b,c,a,a,1,acba,baac,bcaa,caab,aabc,abca
cbaa,c,b,a,a,1,abca,caab,cbaa,baac,aacb,acba
bdaa,b,d,a,a,1,adba,baad,bdaa,daab,aabd,abda
dbaa,d,b,a,a,1,abda,daab,dbaa,baad,aadb,adba
dcaa,d,c,a,a,1,acda,daac,dcaa,caad,aadc,adca
cdaa,c,d,a,a,1,adca,caad,cdaa,daac,aacd,acda
abca,a,b,c,a,2,cbaa,aacb,abca,bcaa,caab,aabc
acba,a,c,b,a,2,bcaa,aabc,acba,cbaa,baac,aacb
abda,a,b,d,a,2,dbaa,aadb,abda,bdaa,daab,aabd
adba,a,d,b,a,2,bdaa,aabd,adba,dbaa,baad,aadb
adca,a,d,c,a,2,cdaa,aacd,adca,dcaa,caad,aadc
acda,a,c,d,a,2,dcaa,aadc,acda,cdaa,daac,aacd
aabc,a,a,b,c,3,baac,acba,aabc,abca,bcaa,caab
aacb,a,a,c,b,3,caab,abca,aacb,acba,cbaa,baac
aabd,a,a,b,d,3,baad,adba,aabd,abda,bdaa,daab
aadb,a,a,d,b,3,daab,abda,aadb,adba,dbaa,baad
aadc,a,a,d,c,3,daac,acda,aadc,adca,dcaa,caad
